City_ID,City,Lat,Lon,Max Temp,Humidity,Clouds,Wind,Country,Date
0,hithadhoo,-0.6,73.0833,26.77,82.0,100.0,3.65,MV,1703304945.0
1,grytviken,-54.2811,-36.5092,4.23,88.0,95.0,3.31,GS,1703304945.0
2,ornskoldsvik,63.2909,18.7153,-6.47,86.0,100.0,6.17,SE,1703304946.0
3,kratie,12.4881,106.0188,25.98,53.0,100.0,4.37,KH,1703304947.0
4,papatowai,-46.5619,169.4708,16.24,73.0,80.0,5.4,NZ,1703304947.0
5,port-aux-francais,-49.35,70.2167,3.58,70.0,84.0,13.63,TF,1703304948.0
6,santo antonio do ica,-3.1022,-67.9397,24.2,90.0,88.0,0.53,BR,1703304949.0
7,argo,37.6333,22.7333,13.21,82.0,2.0,1.82,GR,1703304950.0
8,sarikei,2.1167,111.5167,32.68,58.0,96.0,1.24,MY,1703304951.0
9,waitangi,-43.9535,-176.5597,16.01,79.0,100.0,0.45,NZ,1703304951.0
10,divnogorsk,55.9594,92.3619,0.41,96.0,98.0,3.05,RU,1703304924.0
11,ulaangom,49.9811,92.0667,-26.65,97.0,96.0,0.92,MN,1703304953.0
12,merritt,50.1123,-120.7942,1.85,83.0,100.0,1.34,CA,1703304866.0
13,hayma',,,,,,,,
14,albany,42.6001,-73.9662,-4.63,81.0,100.0,1.41,US,1703304955.0
15,adamstown,-25.066,-130.1015,22.7,93.0,100.0,10.21,PN,1703304955.0
16,uturoa,-16.7333,-151.4333,24.5,92.0,100.0,1.28,PF,1703304956.0
17,anadyr,64.75,177.4833,-27.72,76.0,0.0,5.0,RU,1703304957.0
18,xunchang,28.4543,104.715,10.59,59.0,27.0,1.31,CN,1703304957.0
19,kapuskasing,49.4169,-82.4331,-1.0,86.0,100.0,2.57,CA,1703304958.0
20,flying fish cove,-10.4217,105.6791,28.82,65.0,75.0,4.12,CX,1703304959.0
21,fale old settlement,-9.3852,-171.2468,26.35,87.0,100.0,5.7,TK,1703304959.0
22,malvan,16.0667,73.4667,27.19,31.0,69.0,2.59,IN,1703304960.0
23,okhotsk,59.3833,143.3,-25.88,86.0,72.0,4.35,RU,1703304961.0
24,huarmey,-10.0681,-78.1522,21.18,84.0,81.0,3.58,PE,1703304962.0
25,st. john's,47.5649,-52.7093,0.08,93.0,100.0,11.83,CA,1703304701.0
26,college,64.8569,-147.8028,-21.62,79.0,75.0,0.0,US,1703304964.0
27,san patricio,28.017,-97.5169,20.47,87.0,76.0,2.99,US,1703304965.0
28,wailua homesteads,22.0669,-159.378,25.24,83.0,20.0,7.2,US,1703304966.0
29,tubarjal,30.4999,38.216,9.9,68.0,0.0,4.04,SA,1703304966.0
30,whitehorse,60.7161,-135.0538,-12.57,84.0,0.0,3.6,CA,1703304967.0
31,tura,25.5198,90.2201,21.92,57.0,100.0,0.3,IN,1703304968.0
32,susuman,62.7833,148.1667,-38.96,99.0,100.0,0.36,RU,1703304969.0
33,at taj,24.2049,23.2857,8.47,54.0,0.0,2.77,LY,1703304970.0
34,port lincoln,-34.7333,135.8667,20.71,53.0,0.0,6.42,AU,1703304730.0
35,tiksi,71.6872,128.8694,-29.29,97.0,57.0,3.84,RU,1703304971.0
36,nova sintra,14.8667,-24.7167,20.29,65.0,9.0,6.85,CV,1703304972.0
37,saudarkrokur,65.7461,-19.6394,-9.9,87.0,99.0,2.13,IS,1703304973.0
38,edinburgh of the seven seas,-37.0676,-12.3116,15.14,72.0,96.0,5.4,SH,1703304973.0
39,blackmans bay,-43.0167,147.3167,20.29,51.0,30.0,2.97,AU,1703304974.0
40,longyearbyen,78.2186,15.6401,-15.09,51.0,20.0,3.6,SJ,1703304975.0
41,suva,-18.1416,178.4415,27.71,69.0,75.0,4.63,FJ,1703304976.0
42,yellowknife,62.456,-114.3525,-8.66,99.0,100.0,6.69,CA,1703304952.0
43,pasni,25.2631,63.471,21.84,57.0,1.0,2.72,PK,1703304977.0
44,nemuro,43.3236,145.575,-2.8,54.0,9.0,9.37,JP,1703304978.0
45,bilibino,68.0546,166.4372,-30.35,99.0,99.0,0.57,RU,1703304979.0
46,lebu,-37.6167,-73.65,12.92,88.0,100.0,9.09,CL,1703304980.0
47,verkhnyaya khava,51.8404,39.9413,3.04,98.0,100.0,4.32,RU,1703304980.0
48,mayahi,13.9553,7.6712,14.55,31.0,2.0,4.45,NE,1703304981.0
49,sitka,57.0531,-135.33,2.94,81.0,75.0,2.57,US,1703304982.0
50,duekoue,6.7472,-7.3496,18.48,35.0,34.0,0.27,CI,1703304983.0
51,murudeshwara,14.0943,74.4845,28.42,46.0,98.0,2.78,IN,1703304984.0
52,cabo san lucas,22.8909,-109.9124,24.23,76.0,100.0,6.0,MX,1703304984.0
53,stanley,54.868,-1.6985,10.16,84.0,100.0,12.35,GB,1703304838.0
54,kremmen,52.7622,13.0252,2.72,85.0,79.0,7.44,DE,1703304986.0
55,saint-philippe,-21.3585,55.7679,29.77,73.0,99.0,0.6,RE,1703304986.0
56,qaqortoq,60.7167,-46.0333,-13.27,73.0,98.0,3.31,GL,1703304987.0
57,ouellah,,,,,,,,
58,mata-utu,-13.2816,-176.1745,28.3,72.0,94.0,8.84,WF,1703304989.0
59,margaret river,-33.95,115.0667,24.51,46.0,0.0,6.98,AU,1703304990.0
60,tabalah,19.95,42.4,13.58,79.0,0.0,2.11,SA,1703304991.0
61,monahans,31.5943,-102.8926,13.38,85.0,2.0,7.19,US,1703304906.0
62,invercargill,-46.4,168.35,20.01,79.0,97.0,1.79,NZ,1703304992.0
63,la passe,45.5549,-0.8967,9.99,83.0,90.0,3.53,FR,1703304993.0
64,mount isa,-20.7333,139.5,40.87,12.0,1.0,4.63,AU,1703304994.0
